user,text,created_at_datetime,link,comments,retweets,quotes,likes,alignment
@stevejn3,"""Spot on! Climate changes by natural processes over time not human activity-the climate as warmed and cooled as geological records show long before we started using fossil fuels. CO2 is 0.042% of the earths atmosphere-of that 97% is estimated to be produced by natural vegetation.""",2025-01-29T00:18:00Z,/stevejn3/status/1884395751096123649#m,0,0,0,0,1
@GetAlongCantWe,"""He isn't wrong. But the climate change is natural, in fact could not be significantly altered by human. Global warming of recent cycle started about 20,000 years ago, during the time wildfire of millennium scale burned for hundred of years, warmed up the earth. It will continue.""",2025-01-12T23:16:00Z,/GetAlongCantWe/status/1878581870809735591#m,0,0,0,0,1
@LoveWins0100,"""The planet has always cooled and warmed... it's a cycle of a living planet.. anyone who believes this hoax for tax dollars deserves to eat bugs.. leave the rest of us and our NATURAL FOOD SOURCES ALONE!!""",2024-11-18T01:32:00Z,/LoveWins0100/status/1858322283279892503#m,0,0,0,0,0
@EJthePariah,"""Hasn't Earth #warmed and #cooled naturally throughout history? climate.gov/news-features/cl… \nnot the federal government admitting that warming is part of an ongoing cycle! 🫨""",2024-10-14T13:28:00Z,/EJthePariah/status/1845818992084074534#m,0,0,0,0,1
@TimLow58,"""Of course the climate changes. It warmed up and cooled down between the last 5 ice ages. Humans weren’t around to affect it so it is a natural occurrence.""",2024-10-07T12:17:00Z,/TimLow58/status/1843264351018643481#m,0,0,0,0,1
@TimLow58,"""Climate change is a natural occurrence. It warmed up and cooled down between the last 5 ice ages when humans didn’t exist.""",2024-10-02T18:36:00Z,/TimLow58/status/1841547763718488285#m,0,0,0,0,1
@Hakatoi_,"""FYI STOP 🛑 USING Other's Tragedies As A SPIN for Your 🫵🫵 Climate BS 🤯🙏\nHELLO 🤗 PEOPLE this SO-CALLED SCIENCE Person KNOWS the EARTH Climate Runs On CYCLE'S like all Planets & They Change Regularly,\nTheir Just Spinning  the FACTS\nclimate.gov/news-features/cl…""",2024-09-30T20:25:00Z,/Hakatoi_/status/1840850515388678204#m,0,0,0,0,1
@climateaccepter,"""*Anthropogenic* climate change is a hoax. Climate change is natural. We’re actually in what experts call a “mini ice age” right now. The planet has warmed and cooled through cycles long before humans even existed.""",2024-06-30T21:22:00Z,/climateaccepter/status/1807525040700699039#m,0,0,0,0,0
@Davidakky71,"""Agree...there is zero correlation directly with fossil fuels...the planet for centuries has warmed and cooled as part of its natural cycle and to presume man can influence the planetary climate is not only folly but ridiculous 🤬""",2024-05-06T16:05:00Z,/Davidakky71/status/1787514051569787136#m,0,2,0,3,0
@hartsfwa,"""This nonsense that we are impacting the climate ignores the reality that the earth’s climate has warmed and cooled in natural cycles over a millennia.  This insanity is by design to control us and drive some insane.\n\nLost to 'climate anxiety'\n\nwnd.com/2024/04/lost-climate…""",2024-04-21T07:27:00Z,/hartsfwa/status/1781947974542823443#m,0,0,0,0,0
@oldarmynavysalt,"""AL GORE IS A FUCKING BLASPHEMER, CULT LEADER\n1 In the beginning God created the heaven and the earth.\nbiblegateway.com/passage/?se…\n<mother earth cult, druids>\nmelanielynngriffin.wordpress…\n<100,000 year weather cycle>\nclimate.gov/news-features/cl….\n<just some quick facts>\nzerohedge.com/weather/nyc-en…""",2024-01-17T00:20:00Z,/oldarmynavysalt/status/1747413624459518183#m,0,0,0,0,2
@_ClimateCraze,"""""Arctic Amplification"" is just another climate alarmist buzz word -- like a bomb cyclone -- meant to instill fear about natural events.  The Arctic warmed tremendously in the 20s, while CO2 levels slowly rose, and then earth cooled.  Alarmists have no explanation, but oceans do.""",2024-01-08T03:31:00Z,/_ClimateCraze/status/1744200014203650174#m,21,105,3,296,2
@Christo52847070,"""Man grabs Greta Thunberg's microphone after pro-Palestinian chants at climate rally WHAT A BUNCH OF MASSIVE FUCKTARDS this lot is. And this exploited child needs to go into care or something. Climate change is a myth. It’s a natural cycle, it’s warmed up a bbc.co.uk/news/world-europe-…""",2023-11-13T08:15:00Z,/Christo52847070/status/1723977768486969569#m,1,0,0,1,1
@klavierlight108,"""Hasn't Earth warmed and cooled naturally throughout history? climate.gov/news-features/cl… \n\nInterglacials and glacials, cooling and heating, involve crucially the planet's orbitals around the Sun, The Milankowich Cycle.""",2023-07-20T10:16:00Z,/klavierlight108/status/1681971269472866305#m,0,0,0,0,1
@risktoolbox,"""The #ClimateClowns love to blame people for  “unprecedented climate change”\n\nBut these giant lakes were all created in less than 500 years due to natural changes in the climate cycle around 10,000 years ago\n\nThe ice covering the USA and Canada rapidly melted as the World warmed""",2023-06-21T07:51:00Z,/risktoolbox/status/1671425505021624320#m,0,1,0,1,2
@laurencernoon,"""earth has been changing for millions of years, may be warmer this year but it will cycle and nothing to do with man made climate change, we had a ice age and its warmed up and man was not around them, its a natural climate change and not fixable bt taxes""",2023-05-18T19:34:00Z,/laurencernoon/status/1659281286924496912#m,0,0,0,0,0
@WllmMlln9602,"""Climate Crisis! Will anyone engage in a discussion as to why the newest climate change (ne: Global Warming) is any different from the natural evolution the earth has undergone in the past 6 Billion years. Science has proven that the earth has warmed and cooled several times 1/x""",2023-05-01T16:10:00Z,/WllmMlln9602/status/1653069367532302336#m,2,0,0,0,2
@AppyJoel,"""All of the furor over Climate Change is entirely based on computer models. They have no data showing warning lately. In fact the earth has not warmed over the last decade and in some cases has cooled. This is a NATURAL cycle that has absolutely nothing to do with people.""",2023-04-22T22:59:00Z,/AppyJoel/status/1649910806492897281#m,0,1,0,1,2
@AntiAlinsky,"""Republicans DO acknowledge that climate change exists.  Where we differ from the irrational Leftists is mankind’s effect.  The Earth has warmed and cooled drastically ever since it first formed, all due to natural processes.""",2023-04-13T20:17:00Z,/AntiAlinsky/status/1646608609118244902#m,0,0,0,0,0
@Veritatem2021,"""Trends, like stock market prices, can go down as well as up. \n\nNatural climate variability has repeatedly warmed and cooled.""",2023-04-04T17:07:00Z,/Veritatem2021/status/1643299167819685892#m,0,1,0,3,1
,,,,0,0,0,0,1
@realvegasdotcom,"""Ask Google if the planet is warming or cooling and this is what you get...\n""Climate models and natural climate archives are at odds over whether Earth gradually warmed or cooled over the past few thousand years...""\n#ClimateScam""",2023-03-18T11:21:00Z,/realvegasdotcom/status/1637051683888037889#m,0,0,0,0,2
@lasee_frank,"""We could be going into a cooling cycle. It cooled from 1940 to 1979. Then warmed from 1980 to 2019. Weather and climate are cyclical. Even the IPCC buried in the thousand-page reports admit we can't predict the climate, just like the weather. #ClimateScam dailysceptic.org/2023/01/05/…""",2023-01-06T13:33:00Z,/lasee_frank/status/1611355294633697281#m,3,2,0,6,2
@dennisspencer6,"""We cannot control the climate is complete fantasy, Over the course of these cycles, global average temperatures warmed or cooled anywhere from 3° to perhaps as much as 8° Celsius (5°-15° Fahrenheit). it will level out but we can`t change the cycle.""",2022-11-08T13:28:00Z,/dennisspencer6/status/1589973165899657216#m,1,1,0,1,2
@iamAtheistGirl,"""yes the earth through natural causes has warmed and cooled on its own. however humans have rapidly sped up the process and caused a man made climate change this go around. you’re using the oil companies talking points.""",2022-10-06T19:51:00Z,/iamAtheistGirl/status/1578110815516884992#m,6,1,0,33,2
@Ericthered2222,"""I am a person who questions everything, I feel the global warming to be a natural occurrence.\nI think this way because of the Last Ice Age that ended approximately 12000 years ago. The climate cooled for many years then warmed again, and this all happened without man’s doing.""",2022-09-29T18:19:00Z,/Ericthered2222/status/1575550820237553664#m,1,0,0,0,1
@Mr_Spiny_Norman,"""Rubbish! Earth has experienced cold periods (or “ice ages”) & warm periods (“interglacials”) on roughly 100,000-year cycles for at least the last 1 million years. Over these cycles, global average temp’s warmed or cooled anywhere from 3° to as much as 8°  express.co.uk/news/science/1…""",2022-09-01T21:36:00Z,/Mr_Spiny_Norman/status/1565453664210153472#m,0,0,0,0,2
@tatertotsconor,"""Yo, climate change isn’t a myth. It’s happening now. And it’s not “a natural cycle” so quit with the bullsht. Yes, the earth has heated up and cooled down over millenias. But never this rapidly and never so extremely.""",2022-07-19T11:34:00Z,/tatertotsconor/status/1549356936587423745#m,0,2,0,5,2
@onixfootnotes,"""For many hundreds of millions of years, Earth’s climate has warmed and cooled with natural fluctuations in the level of carbon dioxide in the atmosphere. \nonixfootnotes.com/maintainin…""",2022-06-03T17:53:00Z,/onixfootnotes/status/1532782556042731521#m,0,0,0,0,1
@GorgeousManXD,"""This is probably my least favorite version of denial. “It warmed/cooled in the past, therefore climate change is natural and nothing to worry about.”\n\nI am cursed. Cursed to know what f’(x) means. He is blissful. Blissful to have never taken a single calculus class. He is happy.""",2021-12-27T21:29:00Z,/GorgeousManXD/status/1475579692715589633#m,2,0,0,0,1
@Veritatem2021,"""You think natural climate variability isn't a cause of climate change? \n\nWhich planet of total irrationality are you on? \n\nHow do you think the climate repeatedly warmed and cooled for 800,000 years, as we see in the ice core data?""",2021-11-19T00:26:00Z,/Veritatem2021/status/1461491113236250629#m,2,3,0,3,2
@leelizard4,"""Climate change is natural climate.gov/news-features/cl… #climatechange""",2021-11-02T09:59:00Z,/leelizard4/status/1455474549018013704#m,0,0,0,0,1
@RonaldNeedlema1,"""Climate change is real,,the solution is not ours to make.\nClimate Change has been part of Planet Earth since it was born. It started as a fiery ball and cooled over millions of years. The changes were not brought on by Humans, it is a natural cycle that we are still in.""",2021-10-03T11:12:00Z,/RonaldNeedlema1/status/1444621451647242242#m,0,0,0,0,1
@Veritatem2021,"""800,000 years of ice core data tells us that the climate has repeated warmed AND cooled. \n\nIt is called natural climate variability. \n\nDo you think natural climate variability stopped with the Industrial Revolution?""",2021-09-20T10:53:00Z,/Veritatem2021/status/1439905444261244928#m,3,8,0,20,1
@calibrax,"""Climate change exists. But it's not man-made. The Earth has warmed many times, and taken us out of Ice Ages. No humans were there to generate CO2. It's the Earth's natural cycle. The whole ""eco"" movement is simply an excuse to tax people, in the same way as the Cold War was.""",2021-07-17T00:38:00Z,/calibrax/status/1416195655249408004#m,1,3,1,4,0
@RuleBrexitannia,"""The world has always heated and always cooled.\n\nClimate change is a natural cycle. Where I live it has seen an ice age and also been a desert. \n\nMan made climate change is a complete hoax. More lies to control and make you comply to the elite. (Who fly the globe on private jets).""",2021-06-23T14:38:00Z,/RuleBrexitannia/status/1407709773315907584#m,2,18,0,52,0
@W_Lucht,"""30 years ago today a natural global climate experiment began: 1745 m high Mt. Pinatubo erupted in the Philippines. Aerosols injected into the stratosphere temporarily cooled climate by 0.5 deg C. How did the land carbon cycle respond? We published a paper in Science in 2002. 1/3""",2021-06-12T09:21:00Z,/W_Lucht/status/1403643557433446403#m,1,4,1,6,2
@markpellaton,"""Earth’s climate has always warmed and cooled, and the 20th century rise in global temperature is within the bounds of natural temperature fluctuations over the past 3,000 years. Purdue University""",2021-06-08T12:52:00Z,/markpellaton/status/1402247106627215361#m,0,0,0,0,0
@nvangelder03,"""Read in full, AGW is fake however climate change is natural and follows a cycle. Long term changes over 100s of years like where we warmed 8C in 800 years at the end of the ice age that's almost double the current warming, we have GSM cycles every 400 years and volcanic cycles.""",2021-04-27T10:58:00Z,/nvangelder03/status/1386998245512130562#m,0,2,0,2,1
@EricWFMJ,"""Happy Earth Day 2021! Our area has warmed significantly since the first Earth Day in 1970. The warming that has occurred globally during the last several decades is not part of a natural cycle. It's human-caused climate change.""",2021-04-22T19:25:00Z,/EricWFMJ/status/1385313868084359171#m,1,0,0,5,2
@BkennedyBarbara,"""liberal arrogance&scientific illiteracy on full display here!  Earth’s climate has warmed&cooled for eons, based on natural cycles, random events&sun’s energy levels.  Apparently liberals still believe the earth is flat&sacrificing humans&their economies will alter climate""",2021-03-19T21:03:00Z,/BkennedyBarbara/status/1373017207634980866#m,0,0,0,0,0
,,,,0,0,0,0,1
@PlentyBobby,"""euronews.com/living/2021/02/…\n\nSo 4000 years ago the climate was warmer, then it cooled down, now it's warming back up again, not to mention the ice age which warmed back up again, fossil fuels? global warming? Or just inevitable, natural climate change who knows... 🤔""",2021-02-10T12:52:00Z,/PlentyBobby/status/1359485340067778563#m,0,0,0,0,1
@YandMierda,"""The earth was cool and then warmed and then cooled and warmed again BEFORE Industrialization and the burning of fossil fuels.\n\nNatural cycle.""",2020-08-13T18:49:00Z,/YandMierda/status/1293983008140283904#m,0,0,0,0,2
@NoTricksZone,"""NOTHING UNUSUAL HAPPENING TODAY IN CLIMATE: Newly published scientific study: Natural Variability Dominates...Northern Hemisphere Cooled And Warmed By 1°C In Decades ~1500 Years Ago  notrickszone.com/2020/07/23/…""",2020-07-23T19:51:00Z,/NoTricksZone/status/1286388470274031616#m,0,7,0,11,2
@iamedterry,"""South pole warmed ‘three times faster’ than global average over past 30 years buff.ly/31Amv6i It's believed to be part of the pole's natural climate cycle even without human influence. However, away from the pole, the ice is melting and that's on us\n#ClimateChange""",2020-07-07T17:19:00Z,/iamedterry/status/1280551907778596864#m,0,0,0,0,2
@ClimatePoet,"""The best record to date show that the Earth cooled up to 0.5°C between 1940 and 1980.\n\nAnd the satellite record shows it warmed 0.4°C from 1980 to 2020.\n\nResolved:\nIt is still colder now than it was in the 1930s.\n\nThe #NullHypothesis remains intact and robust:\nClimate is Natural.""",2020-07-04T17:40:00Z,/ClimatePoet/status/1279470039909806080#m,1,1,0,1,1
@edward70827779,"""Climate change is not mans fault, its natural, the earth has always warmed up and cooled down, man made/ caused climate change is nothing but a big tax rort for the UN and crook governments to make the poor, poorer, and the rich, richer.""",2020-03-08T06:26:00Z,/edward70827779/status/1236538695731167233#m,0,0,0,0,0
@TegoArcanaDei,"""Global temperatures have warmed and cooled in the past from natural climate change, not from human activity!""",2020-02-06T07:57:00Z,/TegoArcanaDei/status/1225327668368986112#m,0,0,0,0,1
@southman1969,"""#bbcyourquestions  NASA has said global warming is a natural cycle of earth, Which has warmed and cooled for millions of years, why are you dismissing this?""",2019-11-29T09:24:00Z,/southman1969/status/1200344848336850949#m,0,0,0,0,0
@mthw11,"""I don't believe in climate change. Also as for ""march now or swim later"" sign. The sea levels have always risen and lowered throughout Earths history. The Earth has always cooled and warmed. And it has been warming since the last ice age. Its all natural! #climatechange""",2019-09-20T15:44:00Z,/mthw11/status/1175073297161216001#m,0,0,0,0,0
@walkew03,"""1/1  Climate does change just like it has done for centuries. More than 1,000 scientists disagree that human-activity is primarily responsible for global climate change. Earth's climate has always warmed & cooled. Even the 20th century rise in Climate change is within natural""",2019-08-03T21:45:00Z,/walkew03/status/1157769444543868933#m,1,0,0,0,0
@peikko763,"""Even 1970s scientist discover:\nthat during climate is cooling weather is meridional circulation as 2009-2013 because climate cooled (cold moon&solar cycle) ,but 2014-2016 weather was more zonal circulation because climate warmed. Now meridional again 2019-2024 more,cycles so cold""",2019-07-31T19:04:00Z,/peikko763/status/1156641865032224770#m,1,19,2,34,2
@TomANelson,"""""Over the past 20,000 years or so, sea level has climbed some 400 feet (120 meters). As the climate warmed as part of a natural cycle...""""",2019-04-03T00:29:00Z,/TomANelson/status/1113237020451713025#m,0,3,0,6,1
@TheEndisFar,"""Neanderpogenic Global Warming. Funny how Climate Warmed and Seas Rose w/o extra CO2, Humans, and Chicken Little. Natural Cycle?""",2017-01-21T04:14:00Z,/TheEndisFar/status/822658493555601410#m,0,0,0,1,1
@Mischievousliz,"""FL Caverns\n38 MILLION YRS ago,""global temps were HIGHER then today""\ncooled&warmed again?Global Cooling?natural cycle""",2016-03-14T20:11:00Z,/Mischievousliz/status/709471985781313536#m,0,0,0,0,2
